"","id","name","screen_name","Potential_Climate_Denial"
"914",704411386282115072,"Bernie Sanders","SenSanders","0"
"915",689856986708598784,"D. Wasserman Schultz","RepDWStweets","0"
"916",685135198909022208,"Rep. Lois Frankel","RepLoisFrankel","0"
"917",693931599491121152,"Mike Quigley","RepMikeQuigley","0"
"918",705048815745667072,"Senator Chris Coons","ChrisCoons","0"
"919",687064877375057920,"John McCain","SenJohnMcCain","0"
"920",717732980391854080,"Rep. Elise Stefanik","RepStefanik","0"
"921",687101007835312128,"US Rep E.B.Johnson","RepEBJ","0"
"922",707624803319062528,"Dana Rohrabacher","DanaRohrabacher","0"
"923",687100530271764480,"Judy Chu","RepJudyChu","0"
"924",694962768106123264,"Congressman Ami Bera","RepBera","0"
"925",706514647722106880,"Mike Quigley","RepMikeQuigley","0"
"926",687101063107710976,"Rep. Doug Lamborn","RepDLamborn","0"
"927",697205159127080960,"Blake Farenthold","farenthold","0"
"928",687109472486031360,"Rep. Bill Flores","RepBillFlores","0"
"929",697224652381417472,"Jim Inhofe","JimInhofe","0"
"930",679787660651544576,"Rep. Steve Scalise","SteveScalise","0"
"931",687110879456935936,"Rep. Bill Flores","RepBillFlores","0"
"932",687637447660957696,"Paul Tonko","RepPaulTonko","0"
"933",697831255904251904,"Paul Tonko","RepPaulTonko","0"
"934",698196880254177280,"Rep. Ted Deutch","RepTedDeutch","0"
"935",698949128752128000,"Bernie Sanders","SenSanders","0"
"936",702227855812534272,"Sen. John Barrasso","SenJohnBarrasso","0"
"937",715615343142637568,"Bernie Sanders","SenSanders","0"
"938",718925974579101696,"Bernie Sanders","SenSanders","0"
"939",690185963964739584,"D. Wasserman Schultz","RepDWStweets","0"
"940",708398388975427584,"Bernie Sanders","SenSanders","0"
"941",717810658742378496,"Rep. Eric Swalwell","RepSwalwell","0"
"942",688042868557131776,"Rep. Carlos Curbelo","RepCurbelo","0"
"943",692898585851990016,"Brian Schatz","brianschatz","0"
"944",699702008735989760,"ChuckGrassley","ChuckGrassley","0"
"945",704771793786167296,"Rep. Scott Peters","RepScottPeters","0"
"946",710213352350490624,"Governor Kate Brown","OregonGovBrown","0"
"947",710929937956544512,"Sen. Al Franken","SenFranken","0"
"948",715318124283867136,"Mark DeSaulnier","RepDeSaulnier","0"
"949",719890690168266752,"Sheldon Whitehouse","SenWhitehouse","0"
"950",709867030506315776,"Bernie Sanders","SenSanders","0"
"951",687100617618276352,"Jeff Denham","RepJeffDenham","0"
"952",687102204856143872,"Congressman Ken Buck","RepKenBuck","0"
"953",686612526507757568,"Rep. Eric Swalwell","RepSwalwell","0"
"954",697231696807071744,"Senator Roger Wicker","SenatorWicker","0"
"955",678273557655257088,"Lloyd Doggett","RepLloydDoggett","0"
"956",679386780886548480,"Sen Dianne Feinstein","SenFeinstein","0"
"957",690574516527857664,"Niki Tsongas","nikiinthehouse","0"
"958",697857611568390144,"Rep. Carlos Curbelo","RepCurbelo","0"
"959",704682813317054464,"Lamar Smith","LamarSmithTX21","0"
"960",718524309094932480,"Governor Kate Brown","OregonGovBrown","0"
"961",689486670408716288,"Steve Cohen","RepCohen","0"
"962",690260657502044160,"Mark Warner","MarkWarner","0"
"963",702928389972295680,"Rep. Peter Welch","PeterWelch","0"
"964",697221561779146752,"Sen. Jeanne Shaheen","SenatorShaheen","0"
"965",708379278296088576,"Governor Kate Brown","OregonGovBrown","0"
"966",677925116542603264,"Governor Dan Malloy","GovMalloyOffice","0"
"967",697216614152982528,"Jim Inhofe","JimInhofe","0"
"968",685143282054201344,"Judy Chu","RepJudyChu","0"
"969",697526914752364544,"Tom Udall","SenatorTomUdall","0"
"970",707992185807867904,"Chellie Pingree","chelliepingree","0"
"971",690625105685155840,"Mark DeSaulnier","RepDeSaulnier","0"
"972",696725304107204608,"Dana Rohrabacher","DanaRohrabacher","0"
"973",709805049396994048,"Brian Schatz","brianschatz","0"
"974",697162518440099840,"Bill Foster","RepBillFoster","0"
"975",697502058925137920,"Glenn 'GT' Thompson","CongressmanGT","0"
"976",710911692402761728,"Ann McLane Kuster","RepAnnieKuster","0"
"977",707999892166336512,"Rep. Pete Aguilar","RepPeteAguilar","0"
"978",699986025905569792,"David E. Price","RepDavidEPrice","0"
"979",705495309527425024,"Sen. Al Franken","SenFranken","0"
"980",706816458718838784,"Jim McGovern","RepMcGovern","0"
"981",713125795477192704,"Bernie Sanders","SenSanders","0"
"982",718126278692442112,"Adriano Espaillat","EspaillatNY","0"
"983",718523818105573376,"Governor Kate Brown","OregonGovBrown","0"
"984",713426725129072640,"Earl Blumenauer","repblumenauer","0"
"985",708130331434426368,"Brian Schatz","brianschatz","0"
"986",702567490887557120,"Paul Tonko","RepPaulTonko","0"
"987",677925269982855168,"Governor Dan Malloy","GovMalloyOffice","0"
"988",689932022081544192,"David E. Price","RepDavidEPrice","0"
"989",694522480602542080,"Rep. Paul Gosar, DDS","RepGosar","0"
"990",712289888817831936,"Jim Inhofe","JimInhofe","0"
"991",677892181051486208,"Jason Chaffetz","jasoninthehouse","0"
"992",704818019139194880,"Bernie Sanders","SenSanders","0"
"993",687101452561584128,"TeamMoulton","teammoulton","0"
"994",707998990944509952,"Brian Schatz","brianschatz","0"
"995",715938795561082880,"Rep. Scott Peters","RepScottPeters","0"
"996",717069229497982976,"Joyce Beatty","RepBeatty","0"
"997",687100916437245952,"Rep. Tom Marino","RepTomMarino","0"
"998",689836156092051456,"Senator Jeff Merkley","SenJeffMerkley","0"
"999",690252285197303808,"Rep. Jared Huffman","RepHuffman","0"
"1000",717107759418834944,"Ed Markey","SenMarkey","0"
"1001",677566701802807296,"Congressman Ami Bera","RepBera","0"
"1002",689861476534845440,"Rep Frederica Wilson","RepWilson","0"
"1003",696751656558534656,"Marsha Blackburn","MarshaBlackburn","0"
"1004",687312228228427776,"Lloyd Doggett","RepLloydDoggett","0"
"1005",691267328051273728,"Mike Thompson","RepThompson","0"
"1006",715934479605481472,"Charlie Baker","MassGovernor","0"
"1007",687105215414157312,"Judy Chu","RepJudyChu","0"
"1008",700471532443688960,"ChuckGrassley","ChuckGrassley","0"
"1009",709790865141714944,"Mark Takano","RepMarkTakano","0"
"1010",686969464051621888,"Paul Tonko","RepPaulTonko","0"
"1011",687101540109299712,"Gerry Connolly","GerryConnolly","0"
"1012",704529198359166976,"Rep. Norma Torres","NormaJTorres","0"
"1013",708064676425408512,"Chris Van Hollen","ChrisVanHollen","0"
"1014",710088882562461696,"Bernie Sanders","SenSanders","0"
"1015",722159534177792000,"David Cicilline","RepCicilline","0"
